License #,Business Name,Location Type,License Type,Tier,City,Expiration Date
SCLT0191,Humble Skunk,Indoor,Cultivator,Tier 1,Westford,"Tuesday, December 8, 2026"
SCLT0193,Monarch Cultivation LLC,Indoor,Cultivator,Tier 1,East Haven,"Sunday, December 13, 2026"
SCLT0194,Northern Green,Indoor,Cultivator,Tier 1,Colchester,"Tuesday, December 15, 2026"
SCLT0195,"Vermont Medicine Man Botanicals, LLC",Mixed,Cultivator,Tier 1,Marshfield,"Tuesday, December 15, 2026"
SCLT0196,"T.K. House of Green, LLC DBA Stoney Storys Flowers",Mixed,Cultivator,Tier 1,Glover,"Sunday, June 28, 2026"
SCLT0202,Bubbling Brook Botanicals LLC - DBA Bubbling Brook VT,Mixed,Cultivator,Tier 1,Plainfield,"Wednesday, December 30, 2026"
SCLT0203,"Cloud 9 THC, LLC",Indoor,Cultivator,Tier 1,Walden,"Wednesday, January 6, 2027"
SCLT0204,DRADIS - Fall Forward,Mixed,Cultivator,Tier 1,Stamford,"Tuesday, January 12, 2027"
SCLT0207,802Farmacy LLC,Indoor,Cultivator,Tier 1,Elmore,"Monday, January 25, 2027"
SCLT0211,Hidden Door Cannabis LLC,Indoor,Cultivator,Tier 1,Castleton,"Sunday, January 31, 2027"
SCLT0212,Alive Cannabis Company LLC,Mixed,Cultivator,Tier 1,Morristown,"Tuesday, February 9, 2027"
SCLT0213,The Higher Collective,Indoor,Cultivator,Tier 1,N. Middlesex,"Tuesday, February 16, 2027"
SCLT0216,Passion Fruit Farms llc,Indoor,Cultivator,Tier 1,Essex Junction,"Tuesday, February 23, 2027"
SCLT0220,Mojobliss Cannabis LLC,Mixed,Cultivator,Tier 1,Concord,"Monday, March 1, 2027"
SCLT0224,High Priestess,Indoor,Cultivator,Tier 1,Brattleboro,"Sunday, March 14, 2027"
SCLT0226,"Fine Bud Farms, LLC",Outdoor,Cultivator,Tier 1,Randolph,"Saturday, March 20, 2027"
SCLT0229,"Swift Hawk Canna, LLC. DBA SWIFT HAWK CANNABINOIDS",Mixed,Cultivator,Tier 1,Lincoln,"Saturday, April 3, 2027"
SCLT0233,Yellowbird,Indoor,Cultivator,Tier 1,Jericho,"Saturday, April 10, 2027"
SCLT0235,Wookberry Farm LLC,Indoor,Cultivator,Tier 1,Fairfax,"Tuesday, April 13, 2027"
SCLT0239,Farmhouse Cannabis LLC,Mixed,Cultivator,Tier 1,New Haven,"Saturday, April 18, 2026"
SCLT0243,Decibel Forest LLC,Indoor,Cultivator,Tier 1,Plymouth,"Friday, April 24, 2026"
SCLT0244,Trufella LLC,Indoor,Cultivator,Tier 1,Ryegate,"Sunday, April 26, 2026"
SCLT0246,Druid Flowers LLC,Indoor,Cultivator,Tier 1,St Albans,"Monday, May 4, 2026"
SCLT0250,"In The Weeds, LLC.",Indoor,Cultivator,Tier 1,Brattleboro,"Saturday, May 9, 2026"
SCLT0252,"Starksboro Sativa & Seed Company, LLC",Outdoor,Cultivator,Tier 1,Starksboro,"Saturday, May 9, 2026"
SCLT0253,Green Flash LLC,Outdoor,Cultivator,Tier 1,Moretown,"Saturday, May 9, 2026"
SCLT0256,"Pine Rock, LLC d/b/a Pine Rock Cultivation",Indoor,Cultivator,Tier 1,Island Pond,"Monday, May 11, 2026"
SCLT0257,Gnarly Tree Cannabis LLC,Indoor,Cultivator,Tier 1,Colchester,"Saturday, May 16, 2026"
SCLT0259,Hornbeam Hill Farm LLC,Indoor,Cultivator,Tier 1,Plainfield,"Sunday, May 17, 2026"
SCLT0261,Bel Solas Farm,Mixed,Cultivator,Tier 1,Brownington,"Tuesday, May 19, 2026"
SCLT0264,J2 Rules LLC,Indoor,Cultivator,Tier 1,Williamstown,"Monday, May 25, 2026"
SCLT0267,Cold Hollow Cannabis LLC,Mixed,Cultivator,Tier 1,Bakersfield,"Tuesday, May 26, 2026"
SCLT0270,"Northern Slope LLC, DBA Samsara Farms",Outdoor,Cultivator,Tier 1,Washington,"Monday, June 1, 2026"
SCLT0271,Freedom Flower llc,Mixed,Cultivator,Tier 1,Eden Mills,"Monday, June 1, 2026"
SCLT0272,"High Hopes, LLC",Indoor,Cultivator,Tier 1,West Rutland,"Friday, June 5, 2026"
SCLT0274,GPC LLC,Outdoor,Cultivator,Tier 1,Orwell,"Sunday, June 7, 2026"
SCLT0275,"Parker Hill Cannabis, LLC",Indoor,Cultivator,Tier 1,Springfield,"Monday, June 8, 2026"
SCLT0279,Octogenarian Enterprise LLC D/B/A Addison Pure,Outdoor,Cultivator,Tier 1,Ferrisburgh,"Sunday, June 14, 2026"
SCLT0280,"Guy's Greens, LLC",Outdoor,Cultivator,Tier 1,Wells,"Sunday, June 14, 2026"
SCLT0288,Doh Yey Smokieez LLC d/b/a/ Green Mountain Exotics,Mixed,Cultivator,Tier 1,Bristol,"Sunday, July 5, 2026"
SCLT0289,Jellymumbler LLC,Indoor,Cultivator,Tier 1,Bridgewater Corners,"Monday, July 6, 2026"
SCLT0291,The Farm at Bolton Dome LLC,Mixed,Cultivator,Tier 1,Bolton,"Monday, July 6, 2026"
SCLT0295,"Rhize Cannabis Company, LLC",Indoor,Cultivator,Tier 1,Fairfax,"Monday, July 6, 2026"
SCLT0296,"Mountain Man Weed Co., LLC.",Outdoor,Cultivator,Tier 1,Johnson,"Monday, July 6, 2026"
SCLT0299,Warm Green LLC DBA Ma Ku,Outdoor,Cultivator,Tier 1,Barnard,"Saturday, July 11, 2026"
SCLT0300,Veracious Cultivation and Genetics,Mixed,Cultivator,Tier 1,Cambridge,"Sunday, July 12, 2026"
SCLT0301,Fraser Farm Co L.L.C,Outdoor,Cultivator,Tier 1,Newbury,"Sunday, July 12, 2026"
SCLT0302,Maple Rose Craft Cannabis LLC,Mixed,Cultivator,Tier 1,Leicester,"Sunday, July 12, 2026"
SCLT0304,Up North Cannabis LLC,Indoor,Cultivator,Tier 1,Holland,"Sunday, July 19, 2026"
SCLT0306,Elderberry Hill Farm,Mixed,Cultivator,Tier 1,Lyndonville,"Monday, July 20, 2026"
SCLT0307,Root to Vitality Cannabis LLC,Indoor,Cultivator,Tier 1,EAST HARDWICK,"Tuesday, July 21, 2026"
SCLT0308,Stillmore Farms LLC,Outdoor,Cultivator,Tier 1,Sharon,"Saturday, July 25, 2026"
SCLT0309,TruCanna LLC,Mixed,Cultivator,Tier 1,Stockbridge,"Saturday, July 25, 2026"
SCLT0313,"All Bliss Cannabis, LLC",Mixed,Cultivator,Tier 1,Hardwick,"Monday, July 27, 2026"
SCLT0314,Terpslurper Farms,Mixed,Cultivator,Tier 1,Bennington,"Monday, July 27, 2026"
SCLT0315,Friendly Farmers,Outdoor,Cultivator,Tier 1,Brandon,"Saturday, August 1, 2026"
SCLT0316,Wicked Windy Farms LLC,Mixed,Cultivator,Tier 1,Addison,"Saturday, August 1, 2026"
SCLT0324,Common Weal Cannabis LLC,Indoor,Cultivator,Tier 1,Westminster,"Friday, August 7, 2026"
SCLT0325,Hyde Park Headies LLC,Mixed,Cultivator,Tier 1,Hyde Park,"Friday, August 7, 2026"
SCLT0327,Awella Gardens,Indoor,Cultivator,Tier 1,New Haven,"Saturday, August 8, 2026"
SCLT0328,Jimmy Green Grass LLC,Indoor,Cultivator,Tier 1,Warren,"Sunday, August 9, 2026"
SCLT0329,SEVEN PEAKS LLC,Indoor,Cultivator,Tier 1,East Montpelier,"Sunday, August 9, 2026"
SCLT0331,Pine Grove Gardens LLC,Indoor,Cultivator,Tier 1,Brandon,"Friday, August 14, 2026"
SCLT0334,Grasstender LLC,Indoor,Cultivator,Tier 1,Brookline,"Friday, August 21, 2026"
SCLT0337,Highly Recommended Vermont LLC,Outdoor,Cultivator,Tier 1,Milton,"Tuesday, September 8, 2026"
SCLT0343,Full Spectrum Botanics,Mixed,Cultivator,Tier 1,Wheelock,"Tuesday, September 22, 2026"
SCLT0345,Easy Green Genetix LLC,Indoor,Cultivator,Tier 1,White River Junction,"Saturday, October 3, 2026"
SCLT0347,The Heady Reaper,Indoor,Cultivator,Tier 1,Duxbury,"Thursday, October 8, 2026"
SCLT0350,Green Key Cannabis,Indoor,Cultivator,Tier 1,Middletown Springs,"Sunday, October 11, 2026"
SCLT0351,Florentine Farms Cannabis,Indoor,Cultivator,Tier 1,Essex,"Friday, October 16, 2026"
SCLT0352,"Wisdom Tree Cannabis, LLC",Mixed,Cultivator,Tier 1,Albany,"Friday, October 16, 2026"
SCLT0354,Snow Farm LLC,Outdoor,Cultivator,Tier 1,Newfane,"Friday, October 23, 2026"
SCLT0355,"Three Kings & A Joker, LLC DBA Royal Highness Farms",Indoor,Cultivator,Tier 1,Alburgh,"Sunday, October 25, 2026"
SCLT0356,"Stash Farm, LLC; Stash Farm; Stash House; Stash Hash; Stash Snacks",Indoor,Cultivator,Tier 1,Burlington,"Sunday, November 8, 2026"
SCLT0357,Lost Bittern Flower Co LLC,Indoor,Cultivator,Tier 1,Braintree,"Saturday, November 14, 2026"
SCLT0358,"Kine Cannabis, LLC",Indoor,Cultivator,Tier 1,Belvidere,"Friday, December 4, 2026"
SCLT0359,Bog Brook Botanicals,Indoor,Cultivator,Tier 1,Lyndonville,"Sunday, December 6, 2026"
SCLT0362,One Drop Farm LLC,Indoor,Cultivator,Tier 1,West Pawlet,"Monday, December 28, 2026"
SCLT0364,Atlas Cultivars,Indoor,Cultivator,Tier 1,Westford,"Sunday, February 7, 2027"
SCLT0366,NightTime Land Productions LLC,Indoor,Cultivator,Tier 1,Wilmington,"Monday, March 8, 2027"
SCLT0367,Bright Valley Organics LLC,Indoor,Cultivator,Tier 1,Huntington,"Saturday, March 20, 2027"
SCLT0371,"Chronic Creations, LLC",Outdoor,Cultivator,Tier 1,Roxbury,"Thursday, April 15, 2027"
SCLT0373,Terrapin Gardens LLC dba Terrapin Gardens,Indoor,Cultivator,Tier 1,Barre,"Sunday, April 26, 2026"
SCLT0376,"Moon Girl Growers, LLC",Outdoor,Cultivator,Tier 1,Franklin,"Thursday, May 7, 2026"
SCLT0378,Dr. Dank,Indoor,Cultivator,Tier 1,Warren,"Saturday, May 9, 2026"
SCLT0379,Few True Seeds LLC DBA High Pines Cultivation,Outdoor,Cultivator,Tier 1,Brandon,"Saturday, May 9, 2026"
SCLT0380,Fire Flower LLC DBA Oui'd,Indoor,Cultivator,Tier 1,Springfield,"Wednesday, May 13, 2026"
SCLT0381,Tumbleweed Farms LLC,Indoor,Cultivator,Tier 1,Williston,"Friday, May 15, 2026"
SCLT0382,Golden Farms LLC,Outdoor,Cultivator,Tier 1,North Bennington,"Friday, May 15, 2026"
SCLT0383,Owl Forest LLC - Dba - Owl Forest,Outdoor,Cultivator,Tier 1,Wilmington,"Saturday, May 16, 2026"
SCLT0384,Island Sun LLC,Outdoor,Cultivator,Tier 1,Grand Isle,"Sunday, May 24, 2026"
SCLT0385,Wolf Hill Homestead LLC,Outdoor,Cultivator,Tier 1,Stockbridge,"Saturday, May 30, 2026"
SCLT0386,Bordertown Apothecary LLC,Mixed,Cultivator,Tier 1,Westminster West,"Wednesday, June 3, 2026"
SCLT0387,Moon Lite Cultivation LLC,Outdoor,Cultivator,Tier 1,Morrisville,"Thursday, June 3, 2027"
SCLT0388,Green Star Hill LLC,Indoor,Cultivator,Tier 1,East Calais,"Wednesday, June 17, 2026"
SCLT0389,"Green Mountain Craft Cannabis, dba Green Mountain Ghetto Boyz",Indoor,Cultivator,Tier 1,Bellows Falls,"Wednesday, June 17, 2026"
SCLT0390,"Peak Foliage, LLC d/b/a Peak Foliage",Outdoor,Cultivator,Tier 1,Winhall,"Wednesday, June 17, 2026"
SCLT0391,"LC3 Incorporated, Loud Cloud Craft Cannabis",Outdoor,Cultivator,Tier 1,Charlotte,"Wednesday, June 17, 2026"
SCLT0394,Wiseacre LLC,Outdoor,Cultivator,Tier 1,EAST BURKE,"Wednesday, September 30, 2026"
SCLT0395,Seven Leaf Genetics LLC,Indoor,Cultivator,Tier 1,Morrisville,"Sunday, April 11, 2027"
SCLT0396,Little Dipper Cannabis Company LLC,Indoor,Cultivator,Tier 1,North Hero,"Saturday, June 20, 2026"
SCLT0398,Naughty Chuck Cultivations LLC,Outdoor,Cultivator,Tier 1,Richford,"Thursday, June 25, 2026"
SCLT0399,Cabin Cannabis Company LLC,Outdoor,Cultivator,Tier 1,grafton,"Thursday, June 25, 2026"
SCLT0400,Oski cultivation LLC,Indoor,Cultivator,Tier 1,Hinesburg,"Wednesday, July 15, 2026"
SCLT0404,"North Node Gardens, LLC dba North Node Gardens",Indoor,Cultivator,Tier 1,Arlington,"Saturday, August 29, 2026"
SCLT0405,"Happy Farm Cannabis Company, LLC",Indoor,Cultivator,Tier 1,Colchester,"Thursday, September 3, 2026"
SCLT0406,"Blue Sky Farm, LLC",Indoor,Cultivator,Tier 1,Perkinsville,"Thursday, September 10, 2026"
SCLT0407,Truth and Company LLC,Indoor,Cultivator,Tier 1,Windsor,"Saturday, September 12, 2026"
SCLT0409,Sacred Leaf LLC,Indoor,Cultivator,Tier 1,East Calais,"Wednesday, September 16, 2026"
SCLT0410,"Kneu Cannabinoids, LLC, d/b/a Jamaica Genetics",Indoor,Cultivator,Tier 1,Jamaica,"Thursday, September 17, 2026"
SCLT0411,3D LLC DBA Uncle Wayne's Finest,Indoor,Cultivator,Tier 1,Vernon,"Sunday, September 27, 2026"
SCLT0413,"Three Sirens, LLC",Indoor,Cultivator,Tier 1,Halifax,"Thursday, October 1, 2026"
SCLT0414,Calimont Farm LLC,Indoor,Cultivator,Tier 1,Rutland,"Wednesday, October 7, 2026"
SCLT0415,"Highview Hydroponics, LLC",Indoor,Cultivator,Tier 1,Pawlet,"Saturday, October 10, 2026"
SCLT0417,"High Pastures Farm, LLC  DOB High Pastures Farm",Indoor,Cultivator,Tier 1,Dorset,"Friday, October 16, 2026"
SCLT0418,Juniper Lane LLC dba Juniper Lane,Indoor,Cultivator,Tier 1,Bennington,"Friday, November 6, 2026"
SCLT0419,"Polar Bear, LLC",Indoor,Cultivator,Tier 1,Bloomfield,"Wednesday, November 18, 2026"
SCLT0420,Heirloom Herbals,Indoor,Cultivator,Tier 1,Wells River,"Friday, November 20, 2026"
SCLT0421,Cracked Skull Creations LLC,Indoor,Cultivator,Tier 1,Lyndon,"Friday, November 20, 2026"
SCLT0422,Greene's Canopy LLC,Indoor,Cultivator,Tier 1,mendon,"Friday, December 4, 2026"
SCLT0423,802 grow,Indoor,Cultivator,Tier 1,Chester,"Saturday, December 12, 2026"
SCLT0424,TeeBeeDee Farms,Indoor,Cultivator,Tier 1,Vershire,"Sunday, January 3, 2027"
SCLT0425,"Grass Queen, Inc.",Mixed,Cultivator,Tier 1,Plainfield,"Monday, September 14, 2026"
SCLT0426,Subterra Cannabis LLC,Indoor,Cultivator,Tier 1,Brattleboro,"Thursday, November 19, 2026"
SCLT0428,"Spruce Mountain Cannabis, LLC",Outdoor,Cultivator,Tier 1,Plainfield,"Wednesday, September 2, 2026"
SCLT0429,"Vermont Green Mountain Grown, LLC",Indoor,Cultivator,Tier 1,North Clarendon,"Saturday, January 16, 2027"
SCLT0430,Wizards Bud LLC,Indoor,Cultivator,Tier 1,Saint Johnsbury,"Thursday, February 4, 2027"
SCLT0431,CANNA SUPREME LLC,Outdoor,Cultivator,Tier 1,Townshend,"Wednesday, February 10, 2027"
SCLT0432,"Small Family Craft Cannabis, LLC dba Dark Souls' T.H.C.",Indoor,Cultivator,Tier 1,EAST BURKE,"Thursday, February 11, 2027"
SCLT0434,"Cavendish Hilltop Farm, LLC.",Outdoor,Cultivator,Tier 1,Cavendish,"Friday, February 19, 2027"
SCLT0435,"Honey Pie Gardens, LLC; Honey Pie Gardens",Indoor,Cultivator,Tier 1,South Ryegate,"Friday, February 19, 2027"
SCLT0437,As Above llc,Outdoor,Cultivator,Tier 1,Windham,"Friday, February 19, 2027"
SCLT0438,Puffin Joe,Outdoor,Cultivator,Tier 1,Bristol,"Wednesday, February 24, 2027"
SCLT0439,D&C Gardens,Indoor,Cultivator,Tier 1,Pittsford,"Wednesday, February 24, 2027"
SCLT0440,Enchanted Garden Botanicals LLC,Mixed,Cultivator,Tier 1,Essex,"Thursday, February 25, 2027"
SCLT0441,"Apple Soup, LLC",Indoor,Cultivator,Tier 1,Barre,"Friday, February 26, 2027"
SCLT0442,High Born Frost,Indoor,Cultivator,Tier 1,Groton,"Sunday, February 28, 2027"
SCLT0443,Nw corner consulting llc,Indoor,Cultivator,Tier 1,New Haven,"Wednesday, March 3, 2027"
SCLT0444,Goldfinch Farms LLC,Indoor,Cultivator,Tier 1,Whiting,"Friday, March 5, 2027"
SCLT0445,Emerald Peak Cultivation,Indoor,Cultivator,Tier 1,Barre,"Sunday, March 7, 2027"
SCLT0446,Montgomery Farms LLC,Mixed,Cultivator,Tier 1,Montgomery Center,"Wednesday, March 10, 2027"
SCLT0447,"The Giggling Goat Farm, LLC",Outdoor,Cultivator,Tier 1,South Royalton,"Thursday, March 11, 2027"
SCLT0449,Mountainside Naturals LLC,Outdoor,Cultivator,Tier 1,Bennington,"Friday, March 12, 2027"
SCLT0450,Budz of Paradise LLC,Mixed,Cultivator,Tier 1,Springfield,"Wednesday, March 17, 2027"
SCLT0451,"Moon Hill Farms, LLC",Indoor,Cultivator,Tier 1,Lunenburg,"Saturday, March 20, 2027"
SCLT0453,Black Dog,Indoor,Cultivator,Tier 1,Randolph,"Wednesday, March 24, 2027"
SCLT0455,Back Pasture Cannabis LLC,Mixed,Cultivator,Tier 1,Worcester,"Sunday, March 28, 2027"
SCLT0456,Sacred Earth Essentials/Goddess Grows,Outdoor,Cultivator,Tier 1,Morgan,"Friday, April 2, 2027"
SCLT0457,Fireweed Cannabis of Vermont,Mixed,Cultivator,Tier 1,Poultney,"Sunday, April 4, 2027"
SCLT0458,Ridgetopfarm LLC,Mixed,Cultivator,Tier 1,Springfield,"Tuesday, May 5, 2026"
SCLT0459,Vail Farm Cannabis LLC,Outdoor,Cultivator,Tier 1,Bennington,"Friday, August 7, 2026"
SCLT0460,Giving Tree Farm DBA Blezz,Mixed,Cultivator,Tier 1,ALBURG,"Monday, September 14, 2026"
SCLT0461,LB Farm LLC,Indoor,Cultivator,Tier 1,Enosburg Falls,"Saturday, August 29, 2026"
SCLT0462,Sweet Rhapsody LLC DBA Skunk Hollow Cannabis,Indoor,Cultivator,Tier 1,Greensboro,"Saturday, September 5, 2026"
SCLT0463,Lovespun Homestead LLC,Outdoor,Cultivator,Tier 1,West Townshend,"Monday, October 5, 2026"
SCLT0464,"Emerald Visions LLC, Emerald Visions",Indoor,Cultivator,Tier 1,Alburgh,"Tuesday, June 30, 2026"
SCLT0465,"YBNRML, LLC",Mixed,Cultivator,Tier 1,Perkinville,"Monday, October 12, 2026"
SCLT0466,Mountain Grown Hemp DBA Mountain Grown of Vermont,Outdoor,Cultivator,Tier 1,Wolcott,"Monday, November 9, 2026"
SCLT0467,Cannabis Dream Nursery LLC,Outdoor,Cultivator,Tier 1,West Glover,"Saturday, November 21, 2026"
SCLT0468,Taconic Chronic LLC; dba Taconic Chronic,Outdoor,Cultivator,Tier 1,Hubbardton,"Monday, December 7, 2026"
SCLT0469,MG Enterprises LLC DBA I-89,Mixed,Cultivator,Tier 1,Cambridge,"Thursday, January 21, 2027"
TLAB0029,Bia Diagnostics Laboratories,Testing,Testing,No Tier,Colchester,"Wednesday, July 8, 2026"
TLAB0030,"SH Lab Holdings LLC, DBA: Onward Analytics",Testing,Testing,No Tier,Colchester,"Sunday, October 25, 2026"
WHSL0001,Park Rec LLC d/b/a/ FLŌRA Cannabis,Wholesaler,Wholesaler,No Tier,MIDDLEBURY,"Tuesday, September 8, 2026"
WHSL0003,Northern Craft Cannabis,Wholesaler,Wholesaler,No Tier,Hyde Park,"Monday, October 12, 2026"
WHSL0004,Apex Arboretum Inc. dba Upstate Elevator Operators,Wholesaler,Wholesaler,No Tier,Burlington,"Monday, October 12, 2026"
WHSL0010,"Lavishly Sweet, LLC; Lavishly Sweet",Wholesaler,Wholesaler,No Tier,Saint Albans,"Friday, September 4, 2026"
WHSL0011,Altius THC LLC,Wholesaler,Wholesaler,No Tier,Quechee,"Sunday, August 9, 2026"
WHSL0012,"Red Clover Select, LLC d/b/a Mechayeh",Wholesaler,Wholesaler,No Tier,Montpelier,"Thursday, August 20, 2026"
WHSL0016,Pinnacle Wholesale LLC,Wholesaler,Wholesaler,No Tier,Randolph,"Wednesday, November 25, 2026"
WHSL0017,"Green Mountain Cannections, LLC",Wholesaler,Wholesaler,No Tier,Worcester,"Thursday, February 11, 2027"
,,,,,,
