Business or License Holder Name,License Number,Regulatory Body,City,State,Zip Code,Status,Latitude,Longitude
AL A & M University/Dr. Ernst Cebert,01_23-20035,Alabama Department of Agriculture and Industries,Hazel Green,Alabama,35750,Active,34.9323102,-86.57193830000001
Alabama A7M University (Xinhua Xiao),01_26-2000020,Alabama Department of Agriculture and Industries,Hazel Green,Alabama,35750,Active,34.9323102,-86.57193830000001
Auburn University AL Cooperative Extension System (Kassie Conner),01_26-2000088,Alabama Department of Agriculture and Industries,Auburn,Alabama,36849,Active,32.5909562,-85.49297849999999
Avondale Apothecary LLC,USDA_37_0971,USDA,Birmingham,Alabama,35226,Active,33.4092779,-86.8320743
"C & R Hemp Company, LLC (Charles DeCelle)",01_26-4000007,Alabama Department of Agriculture and Industries,Piedmont,Alabama,36272,Active,33.9245454,-85.6113501
"Carr Farms, LLC (James Lewey)",01_26-4000023,Alabama Department of Agriculture and Industries,Samson,Alabama,36477,Active,31.1129539,-86.0460518
Dennis Lang ,USDA_28_0576,USDA,Mobile,Alabama,36695,Active,30.620114,-88.2753144
Estillfork Hemp (Marcie Bunch),01_26-4000097,Alabama Department of Agriculture and Industries,Estillfork,Alabama,35745,Active,34.910086,-86.1705399
"Fire Hemp Co, LLC/Josh Perrymon",01_24-4000095,Alabama Department of Agriculture and Industries,Hayden,Alabama,35079,Active,33.9538023,-86.72151749999999
Green Up Corporation (David Ware),04_26-4000046,Alabama Department of Agriculture and Industries,Kellyton,Alabama,35089,Active,32.9798441,-86.03357799999999
"Kovered Farms, LLC (Kristy McKinney)",01_26-4000051,Alabama Department of Agriculture and Industries,Pell City,Alabama,35125,Active,33.6288538,-86.2767995
Nathaniel Thomas Aguillard II,USDA_28_0605,USDA,Mobile,Alabama,36608,Active,30.6784935,-88.3433623
"Oscity, LLC (Mike Dow)",01_26-4000104,Alabama Department of Agriculture and Industries,Foley,Alabama,36535,Active,30.3928623,-87.7172616
Samson Botanicals LLC (Savannah Frederick),01_26-4000014,Alabama Department of Agriculture and Industries,Samson,Alabama,36477,Active,31.1129539,-86.0460518
"Smithville HOD, LLC (John Lawrence)",01_26-4000041,Alabama Department of Agriculture and Industries,Prattville,Alabama,36068,Active,32.4614705,-86.42648109999999
"The Wemp Company, LLC (Chris Weaver)",01_26-4000052,Alabama Department of Agriculture and Industries,Orrville,Alabama,36767,Active,32.3062505,-87.2455492
Troy University (Zhiyong Wang),01_26-2000048,Alabama Department of Agriculture and Industries,Troy,Alabama,36082,Active,31.8020952,-85.9521694
4-J Farms LLC,AZ-G190241,Arizona Department of Agriculture,Yuma,Arizona,85364,Active,32.7056541,-114.678669
Arizona State University,AZ-G250008,Arizona Department of Agriculture,Glendale,Arizona,85306,Active,33.6222797,-112.1728283
"Avalon Gardens Slow Foods Enterprises, LLC",AZ-G190190,Arizona Department of Agriculture,Tubac,Arizona,85646,Active,31.61259,-111.0459238
"CONDOR SEED PRODUCTION, INC.",AZ-G250007,Arizona Department of Agriculture,Somerton,Arizona,85350,Active,32.5964404,-114.709677
Diez Manos LLC,AZ-G190184,Arizona Department of Agriculture,Tucson,Arizona,85730,Active,32.1894757,-110.7241664
Green Leaf Cure LLC,AZ-G240003,Arizona Department of Agriculture,Phoenix,Arizona,85050,Active,33.6629442,-112.0182329
GTG Golden Valley Farms LLC,AZ-G200353,Arizona Department of Agriculture,Phoenix,Arizona,85041,Active,33.3885174,-112.1132142
GTG Shabbona Farms LLC,AZ-G200352,Arizona Department of Agriculture,Phoenix,Arizona,85041,Active,33.3885174,-112.1132142
"Higharchy Grows, LLC",AZ-G240005,Arizona Department of Agriculture,Show Low,Arizona,85901,Active,34.2542084,-110.0298327
